2021-10-17/19:10:34		Start of Validation on files!!
2021-10-17/19:10:42		Raw Data Validation Complete!!
2021-10-17/19:10:42		Starting Data Transforamtion!!
2021-10-17/19:10:48		DataTransformation Completed!!!
2021-10-17/19:10:48		Creating Training_Database and tables on the basis of given schema!!!
2021-10-17/19:12:22		Table creation Completed!!
2021-10-17/19:12:22		Insertion of Data into Table started!!!!
2021-10-17/19:12:56		Insertion in Table completed!!!
2021-10-17/19:12:56		Deleting Good Data Folder!!!
2021-10-17/19:12:56		Good_Data folder deleted!!!
2021-10-17/19:12:56		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-10-17/19:12:57		Bad files moved to archive!! Bad folder Deleted!!
2021-10-17/19:12:57		Validation Operation completed!!
2021-10-17/19:12:57		Extracting csv file from table
